Summary of Donations reported by Donors to Australian Labor Party - 2016-17,
data exported: 23/Oct/2018 09:10,
DonorClientNm,RecipientClientNm,AmountPaid,
"Transport workers Union of Australia Federal Council","Country Labor Party","1025.0000",
"Origin Energy","Australian Labor Party (Northern Territory) Branch","1000.0000",
"Schaffer Corporation Limited","ALP- WA","1000.0000",
"Deloitte Touche Tohmatsu","Australian Labor Party (ACT Branch)","970.0000",
"J Hutchinson Pty Ltd","Australian Labor Party (State of Queensland)","900.0000",
"Origin Energy","Australian Labor Party (South Australian Branch)","900.0000",
"Allianz Australia Limited","Australian Labor Party (South Australian Branch) / ALP-SA","825.0000",
"Medicines Australia Limited","Australian Labor Party (N.S.W. Branch)","800.0000",
"Australian Rail, Tram and Bus Industry Union","Australian Labor Party (Western Australian Branch)","500.0000",
"Tabcorp Holdings Limited","Australian Labor Party (South Australian Branch)","450.0000",
"Maurice Blackburn Pty Ltd","Australian Labor Party (ACT Branch)","405.0000",
"Johnson & Johnson Pty Ltd","ALP-NSW","400.0000",
"Mineral Resources","Australian Labor Party (ALP)","400.0000",
"MSD","Australian Labor Party (N.S.W. Branch)","400.0000",
"Novartis Pharmaceuticals Australia Pty Limited","Australian Labor Party (N.S.W. Branch)","400.0000",
"Roche Products Pty Ltd","Australian Labor Party (N.S.W. Branch)","400.0000",
"Santos Limited","ALP-NSW","400.0000",
"Commonwealth Bank of Australia","Country Labor Party","300.0000",
"North West Constructions Pty Ltd","Australian Labor Party (Northern Territory) Branch","300.0000",
"Medtronic Australasia Pty Ltd","ALP-FED","250.0000",
"Commonwealth Bank of Australia","Australian Labor Party (South Australian Branch)","220.0000",
"Allianz Australia Limited","Country Labor Party / CLR-NSW","200.0000",
"Maurice Blackburn Pty Ltd","Australian Labor Party (State of Queensland)","127.0000",
